REF_AREA,TIME_PERIOD,GDP_PC,GDP_PC_Change
AT,2000-01-01,85.394,NA
AT,2000-04-01,89.566,0.048855891514626285
AT,2000-07-01,90.35,0.008753321572918204
AT,2000-10-01,93.096,0.03039291643608201
AT,2001-01-01,87.971,-0.05505070035232448
AT,2001-04-01,90.635,0.030282706801104925
AT,2001-07-01,90.406,-0.0025266177525238506
AT,2001-10-01,92.728,0.02568413600867186
AT,2002-01-01,88.638,-0.04410749719610031
AT,2002-04-01,91.966,0.037545973510232505
AT,2002-07-01,91.663,-0.003294695865863442
AT,2002-10-01,93.034,0.014956961914840331
AT,2003-01-01,88.134,-0.052668916740116575
AT,2003-04-01,92.22,0.046361222683640804
AT,2003-07-01,92.63,0.004445890262415925
AT,2003-10-01,94.837,0.02382597430638031
AT,2004-01-01,89.405,-0.057277223024768835
AT,2004-04-01,94.142,0.05298361389184044
AT,2004-07-01,94.69,0.005820993817849651
AT,2004-10-01,96.649,0.02068856267821315
AT,2005-01-01,91.061,-0.057817463191548735
AT,2005-04-01,96.225,0.05670923886186168
AT,2005-07-01,95.038,-0.012335671603013746
AT,2005-10-01,98.661,0.03812159346787606
AT,2006-01-01,94.457,-0.04261055533594842
AT,2006-04-01,97.803,0.035423526048890014
AT,2006-07-01,97.397,-0.004151201905871924
AT,2006-10-01,101.761,0.04480630820251127
AT,2007-01-01,97.668,-0.04022169593459173
AT,2007-04-01,101.688,0.041159847647131056
AT,2007-07-01,101.137,-0.005418535127055325
AT,2007-10-01,104.369,0.031956652857015724
AT,2008-01-01,100.231,-0.03964778813632405
AT,2008-04-01,104.292,0.0405164070996
AT,2008-07-01,102.11,-0.020922026617573756
AT,2008-10-01,102.819,0.006943492312212351
AT,2009-01-01,95.396,-0.07219482780419963
AT,2009-04-01,98.172,0.029099752610172294
AT,2009-07-01,98.338,0.0016909098317238807
AT,2009-10-01,101.914,0.036364375927922146
AT,2010-01-01,95.026,-0.06758639637341293
AT,2010-04-01,99.488,0.04695557005451143
AT,2010-07-01,100.582,0.010996301061434486
AT,2010-10-01,104.903,0.042959972957388126
AT,2011-01-01,99.476,-0.051733506191434055
AT,2011-04-01,102.432,0.029715710322087772
AT,2011-07-01,102.408,-2.3430178069354214e-4
AT,2011-10-01,106.047,0.03553433325521439
AT,2012-01-01,100.746,-0.04998726979546807
AT,2012-04-01,102.375,0.016169376451670586
AT,2012-07-01,102.448,7.130647130646475e-4
AT,2012-10-01,105.521,0.029995705138216536
AT,2013-01-01,99.04,-0.06141905402716042
AT,2013-04-01,101.327,0.02309168012924063
AT,2013-07-01,101.599,0.002684378299959592
AT,2013-10-01,105.622,0.03959684642565375
AT,2014-01-01,99.044,-0.06227869193917936
AT,2014-04-01,101.391,0.023696538911998792
AT,2014-07-01,101.293,-9.665552169324592e-4
AT,2014-10-01,105.729,0.0437937468531882
AT,2015-01-01,99.457,-0.059321472822026176
AT,2015-04-01,101.552,0.021064379581125645
AT,2015-07-01,101.742,0.0018709626595241622
AT,2015-10-01,105.914,0.04100568103634681
AT,2016-01-01,100.498,-0.05113582718054267
AT,2016-04-01,102.619,0.021104897609902636
AT,2016-07-01,101.988,-0.006148958769818457
AT,2016-10-01,106.959,0.04874102835627724
AT,2017-01-01,102.699,-0.039828345440776416
AT,2017-04-01,103.82,0.010915393528661381
AT,2017-07-01,103.595,-0.0021672124831438482
AT,2017-10-01,108.671,0.04899850378879297
AT,2018-01-01,104.162,-0.04149221043332628
AT,2018-04-01,105.967,0.017328776329179476
AT,2018-07-01,105.39,-0.0054450913963781005
AT,2018-10-01,111.6,0.05892399658411608
AT,2019-01-01,106.908,-0.04204301075268811
AT,2019-04-01,107.436,0.0049388259063868544
AT,2019-07-01,106.947,-0.004551546967496968
AT,2019-10-01,111.374,0.0413943355119825
AT,2020-01-01,103.51,-0.07060893924973505
AT,2020-04-01,92.368,-0.10764177374166757
AT,2020-07-01,102.153,0.1059349558288586
AT,2020-10-01,105.514,0.03290162795023142
AT,2021-01-01,97.634,-0.07468203271603764
AT,2021-04-01,104.693,0.07230063297621728
AT,2021-07-01,107.135,0.02332534171339065
AT,2021-10-01,111.773,0.04329117468614357
AT,2022-01-01,106.422,-0.04787381567999427
AT,2022-04-01,110.405,0.037426471970081414
AT,2022-07-01,108.655,-0.015850731398034508
AT,2022-10-01,113.023,0.04020063503750398
AT,2023-01-01,108.128,-0.04330976880811867
AT,2023-04-01,107.622,-0.004679638946433858
AT,2023-07-01,105.484,-0.01986582668971033
AT,2023-10-01,109.409,0.03720943460619631
AT,2024-01-01,105.466,-0.036039082708004024
AT,2024-04-01,105.486,1.896345741756607e-4
AT,2024-07-01,103.987,-0.014210416548167619
AT,2024-10-01,108.33,0.04176483598911406
BE,2000-01-01,88.291,NA
BE,2000-04-01,90.422,0.024136095411763377
BE,2000-07-01,88.071,-0.026000309659153738
BE,2000-10-01,92.097,0.04571311782539084
BE,2001-01-01,89.855,-0.024343898281159976
BE,2001-04-01,91.596,0.01937566078682321
BE,2001-07-01,88.47,-0.03412812786584572
BE,2001-10-01,91.665,0.03611393692777221
BE,2002-01-01,89.876,-0.019516718485790667
BE,2002-04-01,92.608,0.0303974364680226
BE,2002-07-01,89.914,-0.029090359364201825
BE,2002-10-01,93.711,0.042229241274996075
BE,2003-01-01,90.891,-0.030092518487690807
BE,2003-04-01,92.9,0.02210339857631669
BE,2003-07-01,90.18,-0.029278794402583408
BE,2003-10-01,94.387,0.04665114216012412
BE,2004-01-01,93.116,-0.013465837456429389
BE,2004-04-01,95.865,0.029522316250698004
BE,2004-07-01,93.421,-0.02549418453032899
BE,2004-10-01,97.462,0.04325579901735152
BE,2005-01-01,95.307,-0.022111181793929954
BE,2005-04-01,97.742,0.02554901528743956
BE,2005-07-01,94.581,-0.032340242679707816
BE,2005-10-01,98.921,0.04588659455916096
BE,2006-01-01,97.001,-0.019409427725154433
BE,2006-04-01,99.201,0.02268017855486014
BE,2006-07-01,96.406,-0.02817511920242727
BE,2006-10-01,101.203,0.049758313797896365
BE,2007-01-01,100.009,-0.011798069227196848
BE,2007-04-01,102.395,0.023857852793248563
BE,2007-07-01,99.33,-0.029933102202255948
BE,2007-10-01,103.563,0.04261552401087289
BE,2008-01-01,101.149,-0.023309483116557086
BE,2008-04-01,103.43,0.022550890270788698
BE,2008-07-01,98.863,-0.04415546746591904
BE,2008-10-01,100.489,0.016447002417486874
BE,2009-01-01,94.617,-0.05843425648578451
BE,2009-04-01,98.743,0.0436073855649618
BE,2009-07-01,94.748,-0.040458564151382784
BE,2009-10-01,104.898,0.1071262717946552
BE,2010-01-01,96.437,-0.08065930713645636
BE,2010-04-01,101.164,0.04901645633937186
BE,2010-07-01,96.14,-0.049661935075718644
BE,2010-10-01,106.259,0.10525275639692115
BE,2011-01-01,97.496,-0.0824683085668038
BE,2011-04-01,101.886,0.045027488307212614
BE,2011-07-01,96.658,-0.05131225094713694
BE,2011-10-01,106.433,0.10112975646092415
BE,2012-01-01,97.311,-0.08570650080332227
BE,2012-04-01,101.485,0.042893403623434065
BE,2012-07-01,96.356,-0.0505394885943736
BE,2012-10-01,105.688,0.09684918427498036
BE,2013-01-01,96.309,-0.08874233593217777
BE,2013-04-01,101.456,0.05344256507699183
BE,2013-07-01,96.327,-0.050553934710613514
BE,2013-10-01,106.093,0.1013838280025331
BE,2014-01-01,97.866,-0.07754517263155913
BE,2014-04-01,102.685,0.04924079864304255
BE,2014-07-01,97.572,-0.04979305643472756
BE,2014-10-01,107.314,0.09984421760341071
BE,2015-01-01,99.018,-0.07730585012207161
BE,2015-04-01,104.06,0.050920034741158186
BE,2015-07-01,98.177,-0.056534691524120655
BE,2015-10-01,107.788,0.09789461890259418
BE,2016-01-01,99.637,-0.07562066278249895
BE,2016-04-01,104.745,0.05126609592821948
BE,2016-07-01,98.826,-0.05650866389803819
BE,2016-10-01,108.632,0.09922490032987283
BE,2017-01-01,101.028,-0.06999779070623756
BE,2017-04-01,105.841,0.047640258146256366
BE,2017-07-01,99.473,-0.06016572027853096
BE,2017-10-01,109.943,0.10525469222804176
BE,2018-01-01,102.087,-0.07145520860809687
BE,2018-04-01,107.302,0.05108387943616722
BE,2018-07-01,101.024,-0.05850776313582231
BE,2018-10-01,111.775,0.10642025657269565
BE,2019-01-01,103.849,-0.07091031089241781
BE,2019-04-01,109.301,0.05249930187098574
BE,2019-07-01,103.344,-0.05450087373400068
BE,2019-10-01,113.671,0.099928394488311
BE,2020-01-01,102.793,-0.09569723148384372
BE,2020-04-01,95.816,-0.0678742715943693
BE,2020-07-01,100.14,0.045128162311096245
BE,2020-10-01,109.037,0.08884561613740768
BE,2021-01-01,102.84,-0.05683391876152134
BE,2021-04-01,109.053,0.06041423570595093
BE,2021-07-01,104.093,-0.045482471825626015
BE,2021-10-01,115.3,0.10766333951370402
BE,2022-01-01,107.452,-0.06806591500433651
BE,2022-04-01,113.783,0.05891933142240259
BE,2022-07-01,107.159,-0.05821607797298362
BE,2022-10-01,117.542,0.096893401394189893
BE,2023-01-01,109.211,-0.0708767929761277
BE,2023-04-01,114.249,0.046130884251586346
BE,2023-07-01,106.941,-0.06396554893259454
BE,2023-10-01,117.311,0.09696935693513249
BE,2024-01-01,109.277,-0.06848462633512634
BE,2024-04-01,114.646,0.0491320222919736
BE,2024-07-01,107.578,-0.06165064633742126
BE,2024-10-01,117.979,0.09668333674171295
CY,2000-01-01,79.991,NA
CY,2000-04-01,88.997,0.11258766611243766
CY,2000-07-01,88.348,-0.007292380642044124
CY,2000-10-01,85.701,-0.02996106306877355
CY,2001-01-01,81.514,-0.04885590599876312
CY,2001-04-01,89.758,0.1011360011777118
CY,2001-07-01,92.402,0.029456984335658166
CY,2001-10-01,89.014,-0.036665873033051286
CY,2002-01-01,84.044,-0.05583391376637382
CY,2002-04-01,92.28,0.09799628765884542
CY,2002-07-01,93.134,0.009254442999566528
CY,2002-10-01,92.248,-0.009513174565679513
CY,2003-01-01,86.916,-0.05780071112652857
CY,2003-04-01,91.451,0.05217681439550827
CY,2003-07-01,94.761,0.03619424609900387
CY,2003-10-01,93.556,-0.012716201812982117
CY,2004-01-01,90.22,-0.03565778784898883
CY,2004-04-01,94.97,0.05264908002660164
CY,2004-07-01,98.1,0.03295777613983358
CY,2004-10-01,96.736,-0.013904179408766464
CY,2005-01-01,93.246,-0.036077571948395726
CY,2005-04-01,98.264,0.05381464084250264
CY,2005-07-01,101.218,0.03006187413498339
CY,2005-10-01,100.019,-0.011845719140864254
CY,2006-01-01,96.089,-0.03929253441846056
CY,2006-04-01,101.976,0.06126611786989146
CY,2006-07-01,103.845,0.018327841845140032
CY,2006-10-01,102.59,-0.012085319466512548
CY,2007-01-01,99.685,-0.028316600058485242
CY,2007-04-01,104.327,0.04656668505793245
CY,2007-07-01,106.246,0.018394087820027386
CY,2007-10-01,105.872,-0.0035201325226361015
CY,2008-01-01,101.902,-0.03749811092640168
CY,2008-04-01,106.909,0.04913544385782423
CY,2008-07-01,107.402,0.004611398479080292
CY,2008-10-01,104.512,-0.02690825124299362
CY,2009-01-01,97.596,-0.06617421922841393
CY,2009-04-01,101.254,0.03748104430509448
CY,2009-07-01,101.426,0.0016986983230291844
CY,2009-10-01,100.946,-0.0047325143454341485
CY,2010-01-01,96.474,-0.04430091335961796
CY,2010-04-01,100.892,0.04579472189398172
CY,2010-07-01,101.652,0.00753280735836345
CY,2010-10-01,100.983,-0.006581277299020157
CY,2011-01-01,95.698,-0.05233554162581831
CY,2011-04-01,100.211,0.04715877029822991
CY,2011-07-01,98.211,-0.01995788885451697
CY,2011-10-01,97.457,-0.0076773477512702745
CY,2012-01-01,91.85,-0.05753306586494556
CY,2012-04-01,94.821,0.03234621665759394
CY,2012-07-01,94.664,-0.001655751363094636
CY,2012-10-01,91.516,-0.033254457872052695
CY,2013-01-01,84.652,-0.07500327811530229
CY,2013-04-01,87.526,0.033950763124320694
CY,2013-07-01,89.285,0.02009688549688093
CY,2013-10-01,87.137,-0.024057792462339658
CY,2014-01-01,81.842,-0.06076637937959766
CY,2014-04-01,87.047,0.06359815253781675
CY,2014-07-01,88.028,0.011269773800360825
CY,2014-10-01,85.947,-0.02364020538919438
CY,2015-01-01,82.534,-0.039710519273505725
CY,2015-04-01,89.959,0.0899629243705624
CY,2015-07-01,91.121,0.012916995520181326
CY,2015-10-01,90.229,-0.00978918141811433
CY,2016-01-01,87.809,-0.026820645247093527
CY,2016-04-01,95.226,0.08446742361261377
CY,2016-07-01,96.137,0.00956671497280156
CY,2016-10-01,95.924,-0.0022155881710475035
CY,2017-01-01,92.755,-0.033036570618406355
CY,2017-04-01,100.107,0.07926257344617546
CY,2017-07-01,100.707,0.005993586862057541
CY,2017-10-01,99.84,-0.008609133426673323
CY,2018-01-01,97.724,-0.021193910256410254
CY,2018-04-01,105.197,0.0764704678482256
CY,2018-07-01,105.289,8.745496544578148e-4
CY,2018-10-01,104.979,-0.0029442771799523433
CY,2019-01-01,101.528,-0.03287324131492959
CY,2019-04-01,109.048,0.07406823733354341
CY,2019-07-01,111.451,0.02203616755923989
CY,2019-10-01,109.66,-0.016069842352244457
CY,2020-01-01,103.138,-0.05947474010578143
CY,2020-04-01,95.918,-0.07000329655413134
CY,2020-07-01,105.243,0.09721845743239005
CY,2020-10-01,107.907,0.025312847410279084
CY,2021-01-01,106.061,-0.017107323899283544
CY,2021-04-01,111.477,0.0510649531873167
CY,2021-07-01,117.472,0.05377790934452838
CY,2021-10-01,117.377,-8.087033505856619e-4
CY,2022-01-01,114.974,-0.020472494611380353
CY,2022-04-01,118.713,0.03252039591559822
CY,2022-07-01,123.396,0.03944808066513362
CY,2022-10-01,119.896,-0.028363966417063763
CY,2023-01-01,116.231,-0.03056815907119509
CY,2023-04-01,119.021,0.02400392322185997
CY,2023-07-01,123.803,0.040177783752447016
CY,2023-10-01,120.575,-0.026073681574759856
CY,2024-01-01,118.361,-0.018362015343147405
CY,2024-04-01,121.335,0.025126519715108774
CY,2024-07-01,126.61,0.043474677545638156
CY,2024-10-01,121.914,-0.03709027722928677
DE,2000-01-01,88.807,NA
DE,2000-04-01,89.501,0.00781469929172253
DE,2000-07-01,90.938,0.01605568652864211
DE,2000-10-01,91.801,0.009489982185664953
DE,2001-01-01,90.81,-0.010795089378111345
DE,2001-04-01,90.743,-7.378042065852579e-4
DE,2001-07-01,92.125,0.015229824890074222
DE,2001-10-01,92.995,0.009443690637720537
DE,2002-01-01,89.054,-0.0423786225065864
DE,2002-04-01,90.65,0.017921710422889522
DE,2002-07-01,92.793,0.023640375068946503
DE,2002-10-01,93.065,0.0029312555904000446
DE,2003-01-01,88.778,-0.04606457852038889
DE,2003-04-01,89.614,0.009416747392371966
DE,2003-07-01,92.291,0.029872564554645393
DE,2003-10-01,93.054,0.008267328341875213
DE,2004-01-01,90.385,-0.028682270509596545
DE,2004-04-01,91.453,0.011816119931404523
DE,2004-07-01,92.622,0.012782522169857707
DE,2004-10-01,93.957,0.01441342229707838
DE,2005-01-01,90.084,-0.04122098406717957
DE,2005-04-01,92.755,0.029650104347053775
DE,2005-07-01,94.025,0.013691984259608757
DE,2005-10-01,95.352,0.014113267747939357
DE,2006-01-01,94.131,-0.012805184998741543
DE,2006-04-01,95.46,0.014118621920514957
DE,2006-07-01,97.559,0.021988267337104586
DE,2006-10-01,100.219,0.027265552127430547
DE,2007-01-01,98.152,-0.02062483161875486
DE,2007-04-01,98.529,0.0038409813350720854
DE,2007-07-01,100.413,0.019121273939652288
DE,2007-10-01,102.348,0.019270413193510822
DE,2008-01-01,100.2,-0.020987220072693127
DE,2008-04-01,101.626,0.014231536926147724
DE,2008-07-01,101.643,1.67280026764764e-4
DE,2008-10-01,100.75,-0.008785651741880904
DE,2009-01-01,93.829,-0.06869478908188592
DE,2009-04-01,94.172,0.0036555862260069225
DE,2009-07-01,96.569,0.025453425646689096
DE,2009-10-01,98.56,0.020617382389793822
DE,2010-01-01,96.607,-0.01981534090909094
DE,2010-04-01,98.842,0.02313496951566656
DE,2010-07-01,101.299,0.02485785394872633
DE,2010-10-01,103.252,0.019279558534634977
DE,2011-01-01,102.643,-0.005898190834075802
DE,2011-04-01,102.656,1.2665257250864872e-4
DE,2011-07-01,104.512,0.018079800498753063
DE,2011-10-01,105.289,0.007434552969993886
DE,2012-01-01,104.179,-0.010542411837893792
DE,2012-04-01,102.792,-0.013313623666957836
DE,2012-07-01,104.337,0.01503035255661921
DE,2012-10-01,104.957,0.005942283178546348
DE,2013-01-01,102.16,-0.026649008641634168
DE,2013-04-01,103.477,0.01289154267815199
DE,2013-07-01,105.342,0.018023328855687686
DE,2013-10-01,105.75,0.0038730990488124515
DE,2014-01-01,105.076,-0.006373522458628904
DE,2014-04-01,104.373,-0.006690395523240214
DE,2014-07-01,106.689,0.022189646747722
DE,2014-10-01,107.867,0.01104143819887722
DE,2015-01-01,105.645,-0.020599441905309393
DE,2015-04-01,105.264,-0.0036064177197217117
DE,2015-07-01,107.486,0.021108831129351045
DE,2015-10-01,108.904,0.013192415756470536
DE,2016-01-01,106.884,-0.01854844633805917
DE,2016-04-01,108.014,0.01057220912390999
DE,2016-07-01,108.657,0.0059529320273297975
DE,2016-10-01,110.027,0.012608483576759939
DE,2017-01-01,110.222,0.0017722922555372153
DE,2017-04-01,109.125,-0.00995264103355042
DE,2017-07-01,111.197,0.01898739977090495
DE,2017-10-01,113.143,0.017500472135039597
DE,2018-01-01,111.435,-0.015095940535428603
DE,2018-04-01,111.257,-0.001597343742989162
DE,2018-07-01,111.361,9.347726435190522e-4
DE,2018-10-01,113.246,0.01692693133143552
DE,2019-01-01,112.43,-0.0072055525139959765
DE,2019-04-01,111.071,-0.01208752112425517
DE,2019-07-01,113.405,0.021013585904511557
DE,2019-10-01,113.815,0.0036153608747409426
DE,2020-01-01,110.553,-0.028660545622281777
DE,2020-04-01,99.009,-0.1044205041925592
DE,2020-07-01,109.813,0.10912139300467637
DE,2020-10-01,112.509,0.024550827315527286
DE,2021-01-01,109.441,-0.027268929596743353
DE,2021-04-01,110.743,0.011896821118228018
DE,2021-07-01,112.625,0.016994302122933323
DE,2021-10-01,114.739,0.01877025527192013
DE,2022-01-01,113.493,-0.010859428790559525
DE,2022-04-01,110.85,-0.023287779863075262
DE,2022-07-01,113.002,0.01941362201172757
DE,2022-10-01,113.072,6.194580626892214e-4
DE,2023-01-01,112.476,-0.0052709777840668215
DE,2023-04-01,109.498,-0.026476759486468174
DE,2023-07-01,111.493,0.018219510858645732
DE,2023-10-01,111.949,0.00408994286636832
DE,2024-01-01,111.24,-0.006333241029397344
DE,2024-04-01,109.324,-0.01722402013664147
DE,2024-07-01,111.396,0.01895283743734224
DE,2024-10-01,111.364,-2.872634564975087e-4
EE,2000-01-01,62.324,NA
EE,2000-04-01,70.764,0.13542134651177712
EE,2000-07-01,67.619,-0.04444350234582551
EE,2000-10-01,71.899,0.06329581922240791
EE,2001-01-01,67.07,-0.06716366013435525
EE,2001-04-01,74.811,0.11541672879081578
EE,2001-07-01,72.367,-0.032668992527836845
EE,2001-10-01,76.171,0.05256539582959086
EE,2002-01-01,70.025,-0.0806868755825708
EE,2002-04-01,81.409,0.16257051053195287
EE,2002-07-01,79.098,-0.028387524720854044
EE,2002-10-01,82.088,0.03780120862727243
EE,2003-01-01,77.488,-0.056037423253094173
EE,2003-04-01,86.662,0.11839252529423919
EE,2003-07-01,85.006,-0.019108721238836005
EE,2003-10-01,89.241,0.049820012704985525
EE,2004-01-01,86.049,-0.035768312771035655
EE,2004-04-01,90.774,0.05491057420771879
EE,2004-07-01,91.337,0.006202216493709679
EE,2004-10-01,95.606,0.04673899952921588
EE,2005-01-01,90.368,-0.054787356442064304
EE,2005-04-01,101.324,0.12123760623229465
EE,2005-07-01,101.7,0.0037108681062729934
EE,2005-10-01,107.185,0.0539331366764995
EE,2006-01-01,100.624,-0.061211923310164736
EE,2006-04-01,111.147,0.10457743679440304
EE,2006-07-01,112.331,0.010652559223370828
EE,2006-10-01,118.25,0.05269248916149591
EE,2007-01-01,110.794,-0.06305285412262158
EE,2007-04-01,122.153,0.10252360236113878
EE,2007-07-01,120.595,-0.012754496410239674
EE,2007-10-01,125.066,0.03707450557651647
EE,2008-01-01,106.167,-0.1511122127516671
EE,2008-04-01,120.438,0.13442030009324932
EE,2008-07-01,118.379,-0.0170959331772364
EE,2008-10-01,110.619,-0.06555216719181615
EE,2009-01-01,93.488,-0.1548648966271617
EE,2009-04-01,99.456,0.06383706999828859
EE,2009-07-01,95.548,-0.03929375804375806
EE,2009-10-01,101.242,0.059593084104324553
EE,2010-01-01,92.023,-0.09105904664072231
EE,2010-04-01,101.472,0.10268085152624885
EE,2010-07-01,100.938,-0.005262535477767186
EE,2010-10-01,105.566,0.045849927678376826
EE,2011-01-01,100.643,-0.046634333023890286
EE,2011-04-01,110.029,0.09326033603926746
EE,2011-07-01,110.533,0.0045806105663052914
EE,2011-10-01,110.387,-0.0013208724996155066
EE,2012-01-01,104.14,-0.05659180881806734
EE,2012-04-01,114.411,0.09862684847320916
EE,2012-07-01,114.618,0.0018092665914990135
EE,2012-10-01,115.792,0.01024271929365376
EE,2013-01-01,108.989,-0.058751899958546336
EE,2013-04-01,116.93,0.07286056391011939
EE,2013-07-01,116.141,-0.006747626785256149
EE,2013-10-01,116.517,0.0032374441411731477
EE,2014-01-01,109.956,-0.0563093797471613
EE,2014-04-01,120.298,0.09405580413983775
EE,2014-07-01,119.982,-0.00262681008828079
EE,2014-10-01,125.163,0.04318147722158321
EE,2015-01-01,111.231,-0.11131085065075144
EE,2015-04-01,124.279,0.11730542744378818
EE,2015-07-01,123.486,-0.006380804480241973
EE,2015-10-01,126.064,0.020876860534797374
EE,2016-01-01,117.745,-0.06599029064602098
EE,2016-04-01,125.558,0.06635525924667716
EE,2016-07-01,125.496,-4.937956960130921e-4
EE,2016-10-01,130.275,0.03808089500860594
EE,2017-01-01,122.727,-0.057938975244674736
EE,2017-04-01,134.272,0.0940705794161023
EE,2017-07-01,130.86,-0.0254111058150618
EE,2017-10-01,139.457,0.06569616383921732
EE,2018-01-01,126.668,-0.09170568705765926
EE,2018-04-01,137.81,0.08796223197650548
EE,2018-07-01,136.295,-0.010993396705609278
EE,2018-10-01,144.587,0.060838622106460266
EE,2019-01-01,131.524,-0.0903469883184518
EE,2019-04-01,140.445,0.0678279249414555
EE,2019-07-01,142.338,0.013478585923315183
EE,2019-10-01,148.948,0.04643875844820086
EE,2020-01-01,129.868,-0.1280983967559149
EE,2020-04-01,129.523,-0.0026565435673144952
EE,2020-07-01,139.344,0.07582437096114203
EE,2020-10-01,146.602,0.05208692157538186
EE,2021-01-01,134.983,-0.07925539897136465
EE,2021-04-01,146.24,0.08339568686427183
EE,2021-07-01,147.97,0.011829868708971483
EE,2021-10-01,154.642,0.04509022099074134
EE,2022-01-01,140.136,-0.09380375318477516
EE,2022-04-01,145.698,0.039690015413598304
EE,2022-07-01,147.466,0.012134689563343359
EE,2022-10-01,150.13,0.018065181126496868
EE,2023-01-01,129.71,-0.13601545327382927
EE,2023-04-01,138.607,0.06859147328656226
EE,2023-07-01,139.814,0.008708073906801199
EE,2023-10-01,143.541,0.026656844092866266
EE,2024-01-01,126.728,-0.11713029726698297
EE,2024-04-01,137.263,0.08313079982324358
EE,2024-07-01,138.408,0.008341650699751438
EE,2024-10-01,144.311,0.04264926882839157
ES,2000-01-01,89.421,NA
ES,2000-04-01,94.535,0.05719014549155109
ES,2000-07-01,92.207,-0.024625799968265753
ES,2000-10-01,98.079,0.06368280065504789
ES,2001-01-01,92.862,-0.05319181476156975
ES,2001-04-01,97.622,0.05125885722900654
ES,2001-07-01,95.276,-0.024031468316568026
ES,2001-10-01,101.124,0.061379570930769546
ES,2002-01-01,94.233,-0.06814406075709022
ES,2002-04-01,99.21,0.05281589252172794
ES,2002-07-01,95.978,-0.03257736115310956
ES,2002-10-01,101.786,0.060513867761362056
ES,2003-01-01,95.849,-0.05832825732418994
ES,2003-04-01,99.825,0.04148191426097298
ES,2003-07-01,96.901,-0.02929125970448291
ES,2003-10-01,102.767,0.06053601098027884
ES,2004-01-01,96.793,-0.058131501357439545
ES,2004-04-01,101.535,0.04899114605395008
ES,2004-07-01,98.745,-0.027478209484414165
ES,2004-10-01,104.271,0.055962327206440794
ES,2005-01-01,98.05,-0.05966184269835336
ES,2005-04-01,103.355,0.05410504844467116
ES,2005-07-01,100.347,-0.029103575056843013
ES,2005-10-01,106.195,0.05827777611687444
ES,2006-01-01,101.033,-0.048608691557982885
ES,2006-04-01,105.631,0.04550988290954439
ES,2006-07-01,102.463,-0.029991195766394394
ES,2006-10-01,108.64,0.06028517611235282
ES,2007-01-01,102.666,-0.05498895434462448
ES,2007-04-01,107.261,0.044756784134961904
ES,2007-07-01,103.945,-0.0309152441241458
ES,2007-10-01,110.283,0.060974553850594145
ES,2008-01-01,102.963,-0.0663746905688094
ES,2008-04-01,107.337,0.04248127968299301
ES,2008-07-01,103.245,-0.03812292126666479
ES,2008-10-01,106.956,0.03594362923143976
ES,2009-01-01,97.068,-0.0924492314596657
ES,2009-04-01,101.527,0.04593686899905224
ES,2009-07-01,98.88,-0.02607188235641756
ES,2009-10-01,103.825,0.05001011326860849
ES,2010-01-01,96.617,-0.0694245124006742
ES,2010-04-01,101.321,0.04868708405353088
ES,2010-07-01,98.636,-0.02649993584745514
ES,2010-10-01,103.426,0.048562391013423155
ES,2011-01-01,96.536,-0.06661767834006924
ES,2011-04-01,100.551,0.041590701914311766
ES,2011-07-01,97.82,-0.027160346490835582
ES,2011-10-01,101.059,0.0331118380699244
